Designator,Mid X,Mid Y,Layer,Rotation
C1,54.0000mm,-10.0000mm,Top,90.000000
C2,61.0000mm,-9.0000mm,Top,0.000000
C3,38.0000mm,-24.0000mm,Top,90.000000
C4,81.0000mm,-33.0000mm,Top,90.000000
D1,38.0000mm,-9.0000mm,Top,180.000000
D2,46.0000mm,-13.0000mm,Top,90.000000
D3,87.0000mm,-42.0000mm,Top,90.000000
D4,51.0000mm,-30.0000mm,Top,0.000000
D5,36.0000mm,-51.0000mm,Top,90.000000
D6,78.0000mm,-20.0000mm,Top,90.000000
J1,12.0000mm,-30.0000mm,Top,90.000000
JP1,87.0000mm,-27.0000mm,Top,90.000000
Q1,26.0000mm,-53.0000mm,Top,0.000000
Q2,46.0000mm,-47.0000mm,Top,0.000000
R3,26.0000mm,-28.0000mm,Top,0.000000
R4,33.0000mm,-24.0000mm,Top,90.000000
R5,45.0000mm,-28.0000mm,Top,0.000000
R6,33.0000mm,-47.0000mm,Top,90.000000
R7,40.0000mm,-47.0000mm,Top,0.000000
R8,55.0000mm,-46.0000mm,Top,0.000000
R9,55.0000mm,-50.0000mm,Top,90.000000
R11,70.0000mm,-20.0000mm,Top,0.000000
SW1,57.0000mm,-18.0000mm,Top,0.000000
U1,68.0000mm,-42.0000mm,Top,0.000000
U2,74.0000mm,-12.0000mm,Top,0.000000
